b2kid,ts_cnt,bank_id,remarks,srl_num,event_amt,lchg_time,oper_acid,rcre_time,b2kid_type,event_type,link_b2kid,oper_crncy,margin_acid,margin_date,margin_rate,margin_type,lchg_user_id,link_srl_num,margin_crncy,rcre_user_id,event_srl_num,margin_action,treasury_rate,dnm_serial_num,entity_cre_flg,margin_srl_num,margin_tran_id,link_b2kid_type,margin_rate_code,treasury_ref_num,adjust_margin_flg,link_margin_srl_num,adjust_margin_event_flg,updated_at
DC09468,1,1,LC MARGIN,1,706000,2009-01-25T18:41:46,424553,2009-01-25T18:39:39,DOCCR,S,,NPR,429924,2009-01-25T00:00:00.000000,0,C,SUNNYM,,NPR,SUPRIYAT,1.0,C,,,Y,1,    M1149,,,,,,,2024-08-07 06:48:28.855
DC09469,1,1,LC MARGIN,1,1265000,2009-01-25T18:46:40,424553,2009-01-25T18:45:14,DOCCR,S,,NPR,429924,2009-01-25T00:00:00.000000,0,C,SUNNYM,,NPR,SUPRIYAT,1.0,C,,,Y,1,    M1151,,,,,,,2024-08-07 06:48:28.855
DC09468,1,1,LC MARGIN RELEASED,2,706000,2009-02-17T18:22:43,424553,2009-02-17T17:03:27,DOCCR,M,,NPR,429924,2009-02-17T00:00:00.000000,0,C,RAJESHR,,NPR,SUPRIYAT,1.0,R,,,Y,1,    M1299,,,,,1.0,,2024-08-07 06:48:28.855
DC09469,1,1,LC MARGIN RELEASED,2,1265000,2009-02-17T19:19:29,424553,2009-02-17T17:02:45,DOCCR,M,,NPR,429924,2009-02-17T00:00:00.000000,0,C,RAJESHR,,NPR,SUPRIYAT,1.0,R,,,Y,1,    M1311,,,,,1.0,,2024-08-07 06:48:28.855
DC101348,1,1,LC MARGIN,1,121000,2010-06-23T12:23:27,424553,2010-06-23T12:17:09,DOCCR,S,,NPR,429924,2010-06-23T00:00:00.000000,0,C,SUNNYM,,NPR,ANUSHAK,1.0,C,,,Y,1,    M1119,,,,,,,2024-08-07 06:48:28.855
DC101348,1,1,LC MARGIN RELEASED,2,121000,2010-11-19T13:45:21,1115252,2010-11-19T13:42:24,DOCCR,M,,NPR,429924,2010-11-19T00:00:00.000000,0,C,SUNNYM,,NPR,ANUSHAK,1.0,R,,,Y,1,    M2263,,,,,1.0,,2024-08-07 06:48:28.855
DC132767,1,1,LC MARGIN,1,377000,2013-07-03T16:46:01,2559106,2013-07-03T16:39:04,DOCCR,S,,NPR,211899,2013-07-03T00:00:00.000000,0,C,SATISHRS,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M7926,,,,,,,2024-08-07 06:48:28.855
DC132827,1,1,LC MARGIN HELD,1,377000,2013-07-17T17:49:03,2559106,2013-07-17T16:56:33,DOCCR,S,,NPR,211899,2013-07-17T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,C,,,Y,1,    M7406,,,,,,,2024-08-07 06:48:28.855
DC133080,1,1,LC MARGIN,1,359000,2013-08-23T18:40:31,2559106,2013-08-23T16:21:38,DOCCR,S,,NPR,211899,2013-08-23T00:00:00.000000,0,C,RM0486,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M8064,,,,,,,2024-08-07 06:48:28.855
DC132767,1,1,LC MARGIN RELEASED,2,179000,2013-08-29T16:09:45,2559106,2013-08-29T13:33:05,DOCCR,M,,NPR,211899,2013-08-29T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M8517,,,,,1.0,,2024-08-07 06:48:28.855
DC133113,1,1,LC MARGIN HELD,1,163000,2013-09-01T18:00:56,2559106,2013-09-01T17:11:05,DOCCR,S,,NPR,24768,2013-09-01T00:00:00.000000,0,C,RAJESHR,,NPR,SA0371,1.0,C,,,Y,1,   M10748,,,,,,,2024-08-07 06:48:28.855
DC133141,1,1,LC MARGIN,1,369000,2013-09-04T19:06:51,2559106,2013-09-04T17:34:39,DOCCR,S,,NPR,211899,2013-09-04T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M8116,,,,,,,2024-08-07 06:48:28.855
DC133155,1,1,LC MARGIN,1,75000,2013-09-06T18:39:22,30564520,2013-09-06T14:55:28,DOCCR,S,,NPR,30571713,2013-09-06T00:00:00.000000,0,C,RM0486,,NPR,SS0358,1.0,C,,,Y,1,    M7188,,,,,,,2024-08-07 06:48:28.855
DC133184,1,1,LC MARGIN,1,372000,2013-09-11T19:58:05,2559106,2013-09-11T19:52:35,DOCCR,S,,NPR,24768,2013-09-11T00:00:00.000000,0,C,RM0486,,NPR,SS0358,1.0,C,,,Y,1,    M8601,,,,,,,2024-08-07 06:48:28.855
DC132767,1,1,LC MARGIN RELEASED,3,198000,2013-09-12T14:51:30,2559106,2013-09-12T14:22:14,DOCCR,M,,NPR,211899,2013-09-12T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M3927,,,,,1.0,,2024-08-07 06:48:28.855
DC133222,1,1,LC MARGIN,1,215000,2013-09-20T16:33:54,2559106,2013-09-20T15:55:48,DOCCR,S,,NPR,24768,2013-09-20T00:00:00.000000,0,C,RM0486,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M6932,,,,,,,2024-08-07 06:48:28.855
DC132827,1,1,LC MARGIN RELEASED,2,179000,2013-09-24T18:03:20,2559106,2013-09-24T16:49:10,DOCCR,M,,NPR,211899,2013-09-24T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M8273,,,,,1.0,,2024-08-07 06:48:28.855
DC132827,1,1,LC MARGIN RELEASED,3,198000,2013-10-03T13:41:42,2559106,2013-10-03T12:54:22,DOCCR,M,,NPR,211899,2013-10-03T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M4759,,,,,1.0,,2024-08-07 06:48:28.855
DC133294,1,1,LC MARGIN,1,103000,2013-10-04T13:20:08,30564520,2013-10-04T12:58:13,DOCCR,S,,NPR,30571713,2013-10-04T00:00:00.000000,0,C,CD0122,,NPR,SS0358,1.0,C,,,Y,1,    M5484,,,,,,,2024-08-07 06:48:28.855
DC133080,1,1,LC MARGIN RELEASED,2,174000,2013-10-09T15:27:51,2559106,2013-10-09T14:54:59,DOCCR,M,,NPR,211899,2013-10-09T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M9380,,,,,1.0,,2024-08-07 06:48:28.855
DC133361,1,1,LC MARGIN HELD,1,166000,2013-10-24T18:07:23,30564520,2013-10-24T17:18:17,DOCCR,S,,NPR,30571713,2013-10-24T00:00:00.000000,0,C,RM0486,,NPR,SA0371,1.0,C,,,Y,1,    M7319,,,,,,,2024-08-07 06:48:28.855
DC133222,1,1,LC MARGIN RELEASED,2,215000,2013-10-27T13:50:32,2559106,2013-10-27T13:31:54,DOCCR,M,,NPR,24768,2013-10-27T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M5137,,,,,1.0,,2024-08-07 06:48:28.855
DC133113,1,1,LC MARGIN RELEASED,2,163000,2013-10-27T13:56:02,2559106,2013-10-27T13:22:50,DOCCR,M,,NPR,24768,2013-10-27T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M5300,,,,,1.0,,2024-08-07 06:48:28.855
DC133373,1,1,LC MARGIN,1,369000,2013-10-27T16:13:30,2559106,2013-10-27T15:33:44,DOCCR,S,,NPR,24768,2013-10-27T00:00:00.000000,0,C,RM0486,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M7985,,,,,,,2024-08-07 06:48:28.855
DC133080,1,1,LC MARGIN RELEASED,3,185000,2013-10-31T17:12:49,2559106,2013-10-31T12:16:17,DOCCR,M,,NPR,211899,2013-10-31T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M8976,,,,,1.0,,2024-08-07 06:48:28.855
DC133419,1,1,LC MARGIN,1,238000,2013-11-10T17:04:43,2559106,2013-11-10T16:39:22,DOCCR,S,,NPR,24768,2013-11-10T00:00:00.000000,0,C,RM0486,,NPR,SS0358,1.0,C,,,Y,1,    M9913,,,,,,,2024-08-07 06:48:28.855
DC133184,1,1,MARGIN RELEASED,2,185000,2013-11-12T15:44:40,2559106,2013-11-12T13:59:55,DOCCR,M,,NPR,24768,2013-11-12T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M6328,,,,,1.0,,2024-08-07 06:48:28.855
DC133447,1,1,LC MARGIN HELD,1,84000,2013-11-15T17:16:45,30564520,2013-11-15T16:32:03,DOCCR,S,,NPR,30571713,2013-11-15T00:00:00.000000,0,C,CD0122,,NPR,SA0371,1.0,C,,,Y,1,    M7284,,,,,,,2024-08-07 06:48:28.855
DC133141,1,1,MARGIN RELEASED,2,369000,2013-11-24T15:34:19,2559106,2013-11-24T15:24:20,DOCCR,M,,NPR,211899,2013-11-24T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M7766,,,,,1.0,,2024-08-07 06:48:28.855
DC133481,1,1,LC MARGIN,1,362000,2013-11-28T16:51:44,2559106,2013-11-28T16:34:36,DOCCR,S,,NPR,24768,2013-11-28T00:00:00.000000,0,C,RM0486,,NPR,SS0358,1.0,C,,,Y,1,    M7166,,,,,,,2024-08-07 06:48:28.855
DC133294,1,1,LC MARGIN RELEASED,2,103000,2013-11-28T18:48:24,30564520,2013-11-28T18:03:45,DOCCR,M,,NPR,30571713,2013-11-28T00:00:00.000000,0,C,CD0122,,NPR,AK0609,1.0,R,,,Y,1,    M7903,,,,,1.0,,2024-08-07 06:48:28.855
DC133184,1,1,MARGIN RELEASED,3,187000,2013-12-03T12:24:33,2559106,2013-12-03T12:13:49,DOCCR,M,,NPR,24768,2013-12-03T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M2736,,,,,,,2024-08-07 06:48:28.855
DC133447,1,1,LC MARGIN RELEASED,2,84000,2013-12-04T17:07:59,30564520,2013-12-04T16:30:45,DOCCR,M,,NPR,30571713,2013-12-04T00:00:00.000000,0,C,CD0122,,NPR,AK0609,1.0,R,,,Y,1,    M7319,,,,,1.0,,2024-08-07 06:48:28.855
DC133155,1,1,LC MARGIN RELEASED,2,75000,2013-12-10T17:15:51,30564520,2013-12-10T16:40:12,DOCCR,M,,NPR,30571713,2013-12-10T00:00:00.000000,0,C,CD0122,,NPR,AK0609,1.0,R,,,Y,1,    M7568,,,,,1.0,,2024-08-07 06:48:28.855
DC133361,1,1,MARGIN RELEASED,2,166000,2013-12-15T16:33:57,30564520,2013-12-15T10:45:21,DOCCR,M,,NPR,30571713,2013-12-15T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M9030,,,,,1.0,,2024-08-07 06:48:28.855
DC133577,1,1,LC MAGIN,1,365000,2013-12-18T17:39:41,2559106,2013-12-18T17:11:23,DOCCR,S,,NPR,24768,2013-12-18T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,1.0,C,,,Y,1,   M10393,,,,,,,2024-08-07 06:48:28.855
DC133576,1,1,LC MARGIN,1,163000,2013-12-18T17:43:43,2559106,2013-12-18T17:06:03,DOCCR,S,,NPR,24768,2013-12-18T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,1.0,C,,,Y,1,   M10431,,,,,,,2024-08-07 06:48:28.855
DC133373,1,1,MARGIN RELEASED,2,184000,2013-12-19T18:22:06,2559106,2013-12-19T17:27:21,DOCCR,M,,NPR,24768,2013-12-19T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M8514,,,,,1.0,,2024-08-07 06:48:28.855
DC133590,1,1,LC MARGIN,1,569000,2013-12-22T17:28:43,2559106,2013-12-22T16:21:15,DOCCR,S,,NPR,24768,2013-12-22T00:00:00.000000,0,C,RM0486,,NPR,SS0358,1.0,C,,,Y,1,    M9185,,,,,,,2024-08-07 06:48:28.855
DC133373,1,1,MARGIN RELEASED,3,185000,2013-12-27T15:08:53,2559106,2013-12-27T14:50:40,DOCCR,M,,NPR,24768,2013-12-27T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M6270,,,,,1.0,,2024-08-07 06:48:28.855
DC133419,1,1,MARGIN RELEASED,2,238000,2014-01-13T18:08:22,2559106,2014-01-13T17:52:39,DOCCR,M,,NPR,24768,2014-01-13T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M9642,,,,,1.0,,2024-08-07 06:48:28.855
DC133481,1,1,MARGIN RELEASED,2,172000,2014-01-16T17:03:09,2559106,2014-01-16T15:24:40,DOCCR,M,,NPR,24768,2014-01-16T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M8649,,,,,1.0,,2024-08-07 06:48:28.855
DC143712,1,1,LC MARGIN,1,374000,2014-01-19T17:18:05,2559106,2014-01-19T14:02:20,DOCCR,S,,NPR,24768,2014-01-19T00:00:00.000000,0,C,RM0486,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M9064,,,,,,,2024-08-07 06:48:28.855
DC143760,1,1,LC MARGIN,1,215000,2014-01-26T15:11:43,2559106,2014-01-26T13:03:06,DOCCR,S,,NPR,24768,2014-01-26T00:00:00.000000,0,C,RM0486,,NPR,NAMRATAM,1.0,C,,,Y,1,    M7168,,,,,,,2024-08-07 06:48:28.855
DC133481,1,1,MARGIN RELEASED,3,190000,2014-01-29T13:27:22,2559106,2014-01-29T13:00:56,DOCCR,M,,NPR,24768,2014-01-29T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M4818,,,,,1.0,,2024-08-07 06:48:28.855
DC143816,1,1,LC MARGIN,1,190000,2014-02-07T14:20:29,2559106,2014-02-07T12:48:53,DOCCR,S,,NPR,24768,2014-02-07T00:00:00.000000,0,C,RM0486,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M5492,,,,,,,2024-08-07 06:48:28.855
DC143817,1,1,LC MARGIN,1,175000,2014-02-07T14:21:16,2559106,2014-02-07T12:54:38,DOCCR,S,,NPR,24768,2014-02-07T00:00:00.000000,0,C,RM0486,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M5498,,,,,,,2024-08-07 06:48:28.855
DC133576,1,1,MARGIN RELEASED,2,163000,2014-02-09T14:27:37,2559106,2014-02-09T13:50:42,DOCCR,M,,NPR,24768,2014-02-09T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M6318,,,,,1.0,,2024-08-07 06:48:28.855
DC143760,1,1,MARGIN RELEASED,2,215000,2014-02-14T14:17:02,2559106,2014-02-14T13:28:33,DOCCR,M,,NPR,24768,2014-02-14T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M5401,,,,,1.0,,2024-08-07 06:48:28.855
DC143855,1,1,LC MARGIN,1,376000,2014-02-18T11:53:45,2559106,2014-02-18T11:37:20,DOCCR,S,,NPR,24768,2014-02-18T00:00:00.000000,0,C,RM0486,,NPR,SS0358,1.0,C,,,Y,1,    M2116,,,,,,,2024-08-07 06:48:28.855
DC143871,1,1,LC MARGIN,1,133000,2014-02-23T16:09:25,2559106,2014-02-23T14:02:23,DOCCR,S,,NPR,24768,2014-02-23T00:00:00.000000,0,C,RM0486,,NPR,SS0358,1.0,C,,,Y,1,    M8932,,,,,,,2024-08-07 06:48:28.855
DC133577,1,1,MARGIN RELEASED,2,173000,2014-02-25T13:05:27,2559106,2014-02-25T12:25:36,DOCCR,M,,NPR,24768,2014-02-25T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M3731,,,,,1.0,,2024-08-07 06:48:28.855
DC133577,1,1,MARGIN RELEASED,3,192000,2014-03-04T13:24:33,2559106,2014-03-04T13:09:55,DOCCR,M,,NPR,24768,2014-03-04T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M4790,,,,,1.0,,2024-08-07 06:48:28.855
DC133590,1,1,MARGIN RELEASED,2,569000,2014-03-14T15:26:10,2559106,2014-03-14T14:00:56,DOCCR,M,,NPR,24768,2014-03-14T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M8406,,,,,1.0,,2024-08-07 06:48:28.855
DC143985,1,1,,1,555000,2014-03-17T12:53:07,2559106,2014-03-17T11:57:58,DOCCR,S,,NPR,24768,2014-03-17T00:00:00.000000,0,C,CD0122,,NPR,NAMRATAM,1.0,C,,,Y,1,    M2364,,,,,,,2024-08-07 06:48:28.855
DC143816,1,1,MARGIN RELEASED,2,190000,2014-03-19T12:54:11,2559106,2014-03-19T12:40:49,DOCCR,M,,NPR,24768,2014-03-19T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M3705,,,,,1.0,,2024-08-07 06:48:28.855
DC143712,1,1,MARGIN RELEASED,2,186000,2014-03-21T13:35:16,2559106,2014-03-21T12:41:55,DOCCR,M,,NPR,24768,2014-03-21T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M5664,,,,,1.0,,2024-08-07 06:48:28.855
DC143712,1,1,MARGIN RELEASED,3,188000,2014-03-23T17:36:00.000000,2559106,2014-03-23T15:38:00.000000,DOCCR,M,,NPR,24768,2014-03-23T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M9695,,,,,1.0,,2024-08-07 06:48:28.855
DC144037,1,1,LC MARGIN,1,65000,2014-03-27T18:33:09,23562532,2014-03-27T15:42:32,DOCCR,S,,NPR,23107801,2014-03-27T00:00:00.000000,0,C,CD0122,,NPR,SS0358,1.0,C,,,Y,1,    M8312,,,,,,,2024-08-07 06:48:28.855
DC143817,1,1,MARGIN RELEASED,2,175000,2014-04-01T13:38:39,2559106,2014-04-01T12:10:22,DOCCR,M,,NPR,24768,2014-04-01T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M5258,,,,,1.0,,2024-08-07 06:48:28.855
DC144067,1,1,LC MARGIN,1,357000,2014-04-01T13:47:28,2559106,2014-04-01T13:18:00.000000,DOCCR,S,,NPR,24768,2014-04-01T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M5516,,,,,,,2024-08-07 06:48:28.855
DC144068,1,1,LC MARGIN,1,168000,2014-04-01T13:50:37,2559106,2014-04-01T13:23:26,DOCCR,S,,NPR,24768,2014-04-01T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M5594,,,,,,,2024-08-07 06:48:28.855
DC143855,1,1,MARGIN RELEASED,2,187000,2014-04-06T13:53:54,2559106,2014-04-06T13:32:11,DOCCR,M,,NPR,24768,2014-04-06T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M6123,,,,,1.0,,2024-08-07 06:48:28.855
DC143871,1,1,MARGIN RELEASED,2,133000,2014-04-07T15:55:51,2559106,2014-04-07T13:06:33,DOCCR,M,,NPR,24768,2014-04-07T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M7687,,,,,1.0,,2024-08-07 06:48:28.855
DC144104,1,1,LC MARGIN,1,186000,2014-04-11T13:37:22,2559106,2014-04-11T11:18:25,DOCCR,S,,NPR,24768,2014-04-11T00:00:00.000000,0,C,CD0122,,NPR,NAMRATAM,1.0,C,,,Y,1,    M6737,,,,,,,2024-08-07 06:48:28.855
DC143855,1,1,MARGIN RELEASED,3,189000,2014-04-16T13:58:17,2559106,2014-04-16T13:40:37,DOCCR,M,,NPR,24768,2014-04-16T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M6048,,,,,1.0,,2024-08-07 06:48:28.855
DC144125,1,1,LC MARGIN,1,176000,2014-04-16T18:09:30,2559106,2014-04-16T16:48:10,DOCCR,S,,NPR,24768,2014-04-16T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M9468,,,,,,,2024-08-07 06:48:28.855
DC144169,1,1,LC MARGIN,1,357000,2014-04-25T14:31:09,2559106,2014-04-25T13:03:50,DOCCR,S,,NPR,24768,2014-04-25T00:00:00.000000,0,C,CD0122,,NPR,NAMRATAM,1.0,C,,,Y,1,    M8270,,,,,,,2024-08-07 06:48:28.855
DC143985,1,1,RELEASED,2,176000,2014-04-29T17:35:46,2559106,2014-04-29T17:20:43,DOCCR,M,,NPR,24768,2014-04-29T00:00:00.000000,0,C,SATISHRS,,NPR,AK0609,1.0,R,,,Y,1,    M8123,,,,,1.0,,2024-08-07 06:48:28.855
DC144169,1,1,MARGIN RELEASED,2,357000,2014-04-30T15:48:32,2559106,2014-04-30T15:48:11,DOCCR,Z,,NPR,24768,2014-04-30T00:00:00.000000,357000,C,SATISHRS,,NPR,NAMRATAM,1.0,R,,,Y,1,    M8263,,,,,1.0,,2024-08-07 06:48:28.855
DC144196,1,1,LC MARGIN,1,557000,2014-04-30T17:27:17,2559106,2014-04-30T16:47:01,DOCCR,S,,NPR,24768,2014-04-30T00:00:00.000000,0,C,SATISHRS,,NPR,NAMRATAM,1.0,C,,,Y,1,    M9375,,,,,,,2024-08-07 06:48:28.855
DC143985,1,1,MARGIN RELEASED,3,188000,2014-05-02T13:10:53,2559106,2014-05-02T12:05:07,DOCCR,M,,NPR,24768,2014-05-02T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M5315,,,,,1.0,,2024-08-07 06:48:28.855
DC143985,1,1,MARGIN RELEASED,4,191000,2014-05-05T16:05:24,2559106,2014-05-05T13:20:12,DOCCR,M,,NPR,24768,2014-05-05T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,3.0,R,,,Y,1,    M7752,,,,,1.0,,2024-08-07 06:48:28.855
DC144222,1,1,LC AMRGIN,1,357000,2014-05-09T12:51:45,2559106,2014-05-09T12:20:28,DOCCR,S,,NPR,24768,2014-05-09T00:00:00.000000,0,C,CD0122,,NPR,NAMRATAM,1.0,C,,,Y,1,    M4471,,,,,,,2024-08-07 06:48:28.855
DC144104,1,1,MARGIN RELEASED,2,186000,2014-05-09T15:00:59,2559106,2014-05-09T13:49:07,DOCCR,M,,NPR,24768,2014-05-09T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M6134,,,,,1.0,,2024-08-07 06:48:28.855
DC144067,1,1,MARGIN RELEASED,2,178000,2014-05-13T15:55:08,2559106,2014-05-13T15:54:45,DOCCR,M,,NPR,24768,2014-05-13T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M8317,,,,,1.0,,2024-08-07 06:48:28.855
DC144242,1,1,LC MARGIN,1,208000,2014-05-15T15:37:39,2559106,2014-05-15T13:55:30,DOCCR,S,,NPR,24768,2014-05-15T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M8481,,,,,,,2024-08-07 06:48:28.855
DC144068,1,1,MARGIN RELEASED,2,168000,2014-05-20T11:56:02,2559106,2014-05-20T11:04:00.000000,DOCCR,M,,NPR,24768,2014-05-20T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M2446,,,,,1.0,,2024-08-07 06:48:28.855
DC144196,1,1,MARGIN RELEASED,2,176000,2014-05-22T12:28:52,2559106,2014-05-22T11:29:30,DOCCR,M,,NPR,24768,2014-05-22T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M3171,,,,,1.0,,2024-08-07 06:48:28.855
DC144304,1,1,LC MARGIN,1,162000,2014-05-27T13:15:50,2559106,2014-05-27T12:42:25,DOCCR,S,,NPR,24768,2014-05-27T00:00:00.000000,0,C,CD0122,,NPR,NAMRATAM,1.0,C,,,Y,1,    M3768,,,,,,,2024-08-07 06:48:28.855
DC144196,1,1,MARGIN RELEASED,3,176000,2014-05-30T14:30:51,2559106,2014-05-30T13:30:57,DOCCR,M,,NPR,24768,2014-05-30T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M8051,,,,,1.0,,2024-08-07 06:48:28.855
DC144304,1,1,LC MARGIN,2,9000,2014-06-02T17:00:26,2559106,2014-06-02T15:47:17,DOCCR,A,,NPR,24768,2014-06-02T00:00:00.000000,0,C,CD0122,,NPR,NAMRATAM,1.0,C,,,Y,1,    M7880,,,,,,,2024-08-07 06:48:28.855
DC144346,1,1,LC MARGIN,1,373000,2014-06-04T12:14:27,2559106,2014-06-04T10:43:50,DOCCR,S,,NPR,24768,2014-06-04T00:00:00.000000,0,C,CD0122,,NPR,NAMRATAM,1.0,C,,,Y,1,    M2654,,,,,,,2024-08-07 06:48:28.855
DC144037,1,1,MARGIN RELEASED,2,65000,2014-06-04T15:08:17,23562532,2014-06-04T14:14:08,DOCCR,M,,NPR,23107801,2014-06-04T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M5999,,,,,1.0,,2024-08-07 06:48:28.855
DC144196,1,1,MARGIN RELEASED,4,176000,2014-06-05T17:12:26,2559106,2014-06-05T16:12:43,DOCCR,M,,NPR,24768,2014-06-05T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,3.0,R,,,Y,1,    M7312,,,,,1.0,,2024-08-07 06:48:28.855
DC144346,1,1,LC MARGIN,2,19000,2014-06-08T17:02:59,2559106,2014-06-08T16:56:48,DOCCR,A,,NPR,24768,2014-06-08T00:00:00.000000,0,C,SATISHRS,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M9220,,,,,,,2024-08-07 06:48:28.855
DC144125,1,1,MARGIN RELEASED,2,176000,2014-06-09T15:42:59,2559106,2014-06-09T15:19:00.000000,DOCCR,M,,NPR,24768,2014-06-09T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M7300,,,,,1.0,,2024-08-07 06:48:28.855
