ts_cnt,usance,bank_id,dc_rate,remarks,dc_b2kid,event_id,event_amt,lchg_time,rcre_time,reimb_ind,tenor_ind,ch_sy_rate,crncy_code,event_date,event_type,limit_pcnt,max_reinst,negot_days,tenor_desc,benef_chrgs,bill_sol_id,dc_liab_amt,expiry_date,reinst_type,tran_sol_id,amend_status,available_by,bill_ref_num,dc_chrg_code,interest_amt,lchg_user_id,rcre_user_id,confirmed_amt,confirmed_flg,cont_liab_amt,current_value,event_srl_num,event_text_id,interest_rate,revolving_flg,bill_operation,confirmed_pcnt,entity_cre_flg,last_ship_date,pc_margin_pcnt,port_of_destin,port_of_origin,shipment_terms,tolerance_pcnt,amend_event_amt,applicable_rule,auto_reinst_flg,ch_sy_rate_code,cont_liab_crncy,dc_chrg_tran_id,dc_int_util_amt,dc_liab_tran_id,dc_tol_util_amt,extend_conf_flg,issu_party_code,nature_of_amend,nostro_acct_num,place_of_destin,place_of_expiry,place_of_origin,purch_order_num,reimb_bank_code,transferee_code,amend_crncy_code,benef_party_code,ch_sy_to_op_rate,confirmed_by_ind,dc_int_avail_amt,drawee_bank_code,fructify_amt_flg,partshipment_flg,transhipment_flg,advthru_bank_code,amnd_stand_by_flg,avlwith_bank_code,country_of_expiry,final_expiry_date,negative_tol_pcnt,open_ended_dc_flg,outside_charg_ind,payment_details_1,payment_details_2,reimb_branch_code,revolve_freq_type,ch_base_to_op_rate,drawee_branch_code,recalc_charges_flg,advthru_branch_code,amend_advance_value,applicable_rule_sub,autoreimb_claim_flg,avail_confirmed_amt,avlwith_branch_code,transfer_dc_ref_num,transfer_negot_days,iss_bank_limit_b2kid,transfer_expiry_date,advthru_bank_location,ch_sy_to_op_base_rate,ch_sy_to_op_rate_code,confirmation_reqd_flg,drawn_on_oth_bank_flg,nonbill_otherutil_flg,notification_receiver,reimb_applicable_rule,revolve_freq_cal_base,revolve_freq_start_dd,revolve_freq_week_day,revolve_freq_week_num,actl_transferrable_flg,revolve_freq_hldy_stat,transfer_shipment_date,actl_shipment_mode_code,auto_renewal_next_cycle,ch_base_to_op_rate_code,ch_sy_to_op_base_rate_code,updated_at
3,0,1,79.2,DC Opening,DC09468,1.0,8910.0,2009-01-25T18:41:46,2009-01-25T18:39:39,N,,0,USD,2009-01-25T00:00:00.000000,S,0,,21,,,,8910.0,2009-04-14T00:00:00.000000,,4,,,,DCCHARGES,0,SUNNYM,SUPRIYAT,,,8910.0,8910.0,1,DC09468,0,,,,Y,2009-03-24T00:00:00.000000,0,,,,0.0,,,,,USD,    M1148,,   S62173,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,2024-08-07 06:42:09.281
3,0,1,79.2,DC Opening,DC09469,1.0,15970.0,2009-01-25T18:46:40,2009-01-25T18:45:14,N,,0,USD,2009-01-25T00:00:00.000000,S,0,,21,,,,15970.0,2009-04-14T00:00:00.000000,,4,,,,DCCHARGES,0,SUNNYM,SUPRIYAT,,,15970.0,15970.0,1,DC09469,0,,,,Y,2009-03-24T00:00:00.000000,0,,,,0.0,,,,,USD,    M1150,,   S62174,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,2024-08-07 06:42:09.281
0,0,1,79.2,FOREIGN BILL LODGE,DC09468,2.0,8910.0,2009-03-25T18:11:59,2009-03-25T18:11:59,N,,0,USD,2009-03-25T00:00:00.000000,G,0,,21,,,4.0,8910.0,2009-04-14T00:00:00.000000,,4,,,0409OWD0200001,,0,SUNNYM,SUNNYM,,,8910.0,8910.0,1,,0,,G,,Y,2009-03-24T00:00:00.000000,0,,,,0.0,,,,,USD,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0,,,,,,,0,,N,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,2024-08-07 06:42:09.281
0,0,1,79.2,FOREIGN BILL LODGE,DC09469,2.0,15970.0,2009-03-25T18:15:36,2009-03-25T18:15:36,N,,0,USD,2009-03-25T00:00:00.000000,G,0,,21,,,4.0,15970.0,2009-04-14T00:00:00.000000,,4,,,0409OWD0200002,,0,SUNNYM,SUNNYM,,,15970.0,15970.0,1,,0,,G,,Y,2009-03-24T00:00:00.000000,0,,,,0.0,,,,,USD,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0,,,,,,,0,,N,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,2024-08-07 06:42:09.281
0,0,1,79.2,FOREIGN BILL REALISE,DC09468,3.0,8910.0,2009-03-25T18:51:26,2009-03-25T18:51:26,N,,0,USD,2009-03-25T00:00:00.000000,B,0,,21,,,4.0,0.0,2009-04-14T00:00:00.000000,,4,,,0409OWD0200001,,0,SUNNYM,SUNNYM,,,0.0,8910.0,1,,0,,R,,Y,2009-03-24T00:00:00.000000,0,,,,0.0,,,,,USD,,,   S84577,,,,,,,,,,,,,,0,,,,N,,,,,,,,0.0,,,,,,,0,,N,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,2024-08-07 06:42:09.281
0,0,1,79.2,FOREIGN BILL REALISE,DC09469,3.0,15970.0,2009-03-25T18:52:01,2009-03-25T18:52:01,N,,0,USD,2009-03-25T00:00:00.000000,B,0,,21,,,4.0,0.0,2009-04-14T00:00:00.000000,,4,,,0409OWD0200002,,0,SUNNYM,SUNNYM,,,0.0,15970.0,1,,0,,R,,Y,2009-03-24T00:00:00.000000,0,,,,0.0,,,,,USD,,,   S84578,,,,,,,,,,,,,,0,,,,N,,,,,,,,0.0,,,,,,,0,,N,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,2024-08-07 06:42:09.281
3,0,1,1.6015,DC Opening,DC101348,1.0,755000.0,2010-06-23T12:23:27,2010-06-23T12:17:09,N,,0,INR,2010-06-23T00:00:00.000000,S,0,,21,,,,755000.0,2010-09-30T00:00:00.000000,,4,,,,DCCHARGES,0,SUNNYM,ANUSHAK,,,755000.0,755000.0,1,DC101348,0,,,,Y,2010-09-09T00:00:00.000000,0,,,,0.0,,,,,INR,    M1039,,  S892490,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,2024-08-07 06:42:09.281
5,0,1,1.6015,CHANGE IN SHIPMENT AND EXPIRY DATE,DC101348,2.0,0.0,2010-10-05T10:29:41,2010-10-01T10:55:47,N,,0,INR,2010-10-01T00:00:00.000000,A,0,,15,,,,755000.0,2010-12-20T00:00:00.000000,,4,A,,,DCCHARGES,0,RAJESHR,SUBASHKH,,,755000.0,755000.0,1,,0,,,,Y,2010-12-05T00:00:00.000000,0,,,,0.0,,,,,INR,     M243,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0,,O,,,,,0,,Y,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,2024-08-07 06:42:09.281
1,0,1,0.0,Documentary Credit Closed,DC09468,4.0,0.0,2010-10-31T17:00:41,2010-09-15T14:36:25,N,,0,USD,2010-09-15T00:00:00.000000,Z,0,,21,,,,0.0,2009-04-14T00:00:00.000000,,4,,,,,0,SUNNYM,SHERINGY,,,0.0,0.0,1,,0,,,,Y,2009-03-24T00:00:00.000000,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,2024-08-07 06:42:09.281
1,0,1,0.0,Documentary Credit Closed,DC09469,4.0,0.0,2010-10-31T17:00:45,2010-09-15T14:36:29,N,,0,USD,2010-09-15T00:00:00.000000,Z,0,,21,,,,0.0,2009-04-14T00:00:00.000000,,4,,,,,0,SUNNYM,SHERINGY,,,0.0,0.0,1,,0,,,,Y,2009-03-24T00:00:00.000000,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,2024-08-07 06:42:09.281
